time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
6795.107, 1, 0.25, 0, 0, 0, 0, 0, 4.690566061439859, 1.0615305294807276, -1.5628757443431063e-05, -2.6434619097809183e-05, -2.8344522540720473e-05, -2.309502696888796
6797.223, 1, 0.25, 0, 0, 0, 0, 0, 4.5226450298171486, 0.876217023183, -1.6251060868610612e-05, -8.379603271115753e-06, -9.776999245430816e-06, -2.307735636883427
6799.222, 1, 0.25, 0, 0, 0, 0, 0, 4.356350886683104, 0.6924118973506272, -1.002304079417149e-05, -2.5417387532973624e-06, -3.37145499955819e-06, -2.3066976630748375
6800.723, 1, 0, 0, 0, 0, 0, 0.241067576242, 4.357826713660975, 0.689647584249748, -2.1192722532148434e-05, -5.091180947210546e-05, 2.1516865067257247e-05, -2.1567830344795045
6802.141, 1, 0.25, 0, 0, 0, 0, 0, 4.220931623739274, 0.4823457209910193, -1.456628238988289e-05, -1.18134912715111e-05, -3.0007292649265217e-06, -2.1550684886382814
6804.037, 1, 0.25, 0, 0, 0, 0, 0, 4.083176914532111, 0.2734322903578279, -1.0875172399366084e-05, -4.127632124096076e-06, -4.037764102216599e-06, -2.1541611881184393
6805.74, 1, 0.25, 0, 0, 0, 0, 0, 3.946279507207724, 0.06561094573761247, -9.316152641963837e-06, 9.499812709134825e-08, -2.821181209690234e-07, -2.1535786171512807
6807.256, 1, 0.25, 0, 0, 0, 0, 0, 3.8086328900400432, -0.1434885939609375, -9.277209853553181e-06, 2.1636679635339315e-07, -1.0896024938395814e-07, -2.1531917327610155
6809.058, 1, 0.25, 0, 0, 0, 0, 0, 3.6712266948402243, -0.3523232805313593, -9.339560385984713e-06, 4.177861707225046e-07, -3.7542397064869294e-07, -2.1529298334010063
6810.557, 1, 0.25, 0, 0, 0, 0, 0, 3.5357166379053138, -0.5583375277403615, -9.418875501432389e-06, 7.944545010917494e-07, -6.817020842942653e-07, -2.1527653510758484
6812.858, 1, 0, 0, 0, 0, 0, -0.241067576242, 3.53382611699838, -0.5612602328307645, -3.844861190305249e-05, 0.0001376743668637518, 7.748001132395298e-05, -2.324019677628242
6814.387, 1, 0.25, 0, 0, 0, 0, 0, 3.3623876268918074, -0.743135564830824, -1.1442817811818662e-05, -1.518771462460071e-06, -6.923793663525458e-07, -2.3266226064026316
6816.271, 1, 0.25, 0, 0, 0, 0, 0, 3.192667410764077, -0.9231738596892136, -9.932628534325971e-06, -5.221985444924242e-07, -3.709335232272195e-08, -2.326699121060668
6817.689, 1, 0.25, 0, 0, 0, 0, 0, 3.0191527044306117, -1.1072336720456266, -1.097025996871226e-05, -4.135683489279576e-07, -3.335081206868444e-08, -2.326783419871288
6819.089, 1, 0.25, 0, 0, 0, 0, 0, 2.8474884191267855, -1.2892863666800418, -1.080110692561198e-05, -4.0921900164192687e-07, 3.010479984858889e-08, -2.3267452613460082
6820.39, 1, 0.25, 0, 0, 0, 0, 0, 2.67651279297722, -1.47063120678454, -9.643644103107807e-06, -4.145885701210151e-07, -3.96808012307534e-09, -2.3267236195800316
6821.689, 1, 0.25, 0, 0, 0, 0, 0, 2.5064022164038025, -1.6510820999384563, -9.707502844819027e-06, 1.5693918993623817e-07, 2.749275952933767e-07, -2.326704580765476
6822.99, 1, 0.25, 0, 0, 0, 0, 0, 2.333205749384794, -1.8348129699921658, -9.920266316215676e-06, -1.0733873400649044e-08, 3.1024504021369574e-07, -2.3267042384329653
6824.407, 1, 0.25, 0, 0, 0, 0, 0, 2.1613786379711293, -2.0170886899798517, -1.0396716190269606e-05, -1.223107143086967e-07, -3.6829143127301397e-08, -2.3267042508382834
6825.706, 1, 0.25, 0, 0, 0, 0, 0, 1.9900644058448047, -2.1988189013409953, -1.0406707607046872e-05, -2.93021187386479e-07, -9.410816669929603e-08, -2.3267043251507737
6827.108, 1, 0.25, 0, 0, 0, 0, 0, 1.8185779869393939, -2.380731031186686, -1.0359669661175186e-05, -1.1467395385318582e-07, 8.883332330436721e-08, -2.3267042543116117
6828.806, 1, 0.25, 0, 0, 0, 0, 0, 1.6477770719894247, -2.5619155571892, -1.0677523039792636e-05, 4.79634252316257e-08, -8.873419193356199e-08, -2.326704178249604
6830.306, 1, 0.25, 0, 0, 0, 0, 0, 1.4761184356299502, -2.7440097094175733, -1.0973297921379466e-05, 1.99742703942563e-07, -1.7286616523473334e-07, -2.326704171862328
6832.723, 1, 0.25, 0, 0, 0, 0, 0, 1.3038047969642048, -2.926814151572167, -3.3874482195828115e-05, -6.916506306257111e-05, 6.260278391428991e-05, -2.3266200632169545
6834.239, 1, 0, 0, 0, 0, 0, -0.241067576242, 1.30471356898894, -2.9269575337160454, -2.2776737791940782e-05, -2.7669476449907016e-05, 8.445788482064311e-06, -2.4959482489383724
6835.939, 1, 0.25, 0, 0, 0, 0, 0, 1.1053978552163675, -3.0770412694584732, -4.2151019406522217e-05, 2.707135376712345e-05, -0.0001120322678956873, -2.4948150659598443
6838.638, 1, 0.25, 0, 0, 0, 0, 0, 0.9150314643830235, -3.220825975828061, -1.64490831850439e-05, -1.1559706858242432e-05, -1.1231227294139742e-05, -2.49471217979873
6840.039, 1, 0, 0, 0, 0, 0, -0.241067576242, 0.9141521406658506, -3.218669349668101, -1.7009902549852685e-05, -1.3044705082614902e-05, -5.645419057807336e-06, -2.6309257839195936
6841.438, 1, 0.25, 0, 0, 0, 0, 0, 0.7011578991130242, -3.3380006583190722, -1.1539103695584751e-05, 1.5639235149767905e-06, -2.5356451543932706e-06, -2.6309193517535343
6842.857, 1, 0, 0, 0, 0, 0, -0.241067576242, 0.7000468863801007, -3.3356594290666632, -1.6827680662356848e-05, -7.65521013597493e-06, -7.3258695348202585e-06, -2.777707799237238
6844.255, 1, 0.25, 0, 0, 0, 0, 0, 0.4687505736106422, -3.423751401293928, -1.3513234074086222e-05, -2.510573242526255e-06, -4.146099148841485e-06, -2.777704081572076
6845.656, 1, 0, 0, 0, 0, 0, -0.241067576242, 0.46849006189487835, -3.4216912131330837, -1.5623348324944608e-05, 1.6282829533313915e-06, -6.295521552219828e-06, -2.9353384240589335
6846.957, 1, 0.25, 0, 0, 0, 0, 0, 0.2258355390236926, -3.4724618726069902, -1.0843856921433082e-05, 7.120441922364959e-06, 5.115599090614395e-06, -2.935334730263245
6848.356, 1, 0.25, 0, 0, 0, 0, 0, -0.017426120445603332, -3.523383023114572, -1.0850514770455177e-05, 7.390052003120263e-06, 6.499999414201095e-06, -2.9352411054617678
6849.973, 1, 0.25, 0, 0, 0, 0, 0, -0.2617549198244311, -3.574527439698462, -1.556068019309409e-05, 1.5851994411622708e-05, 9.335430781875936e-06, -2.9352232094853137
6851.372, 1, 0, 0, 0, 0, 0, -0.241067576242, -0.2622960332809794, -3.573464302364554, -1.7231520638538722e-05, 2.6167506784312474e-05, 3.290187342257129e-06, -3.102380673339574
6852.573, 1, 0.25, 0, 0, 0, 0, 0, -0.5115480342638221, -3.5830102134243074, -1.2165360992494323e-05, 1.0058855655641872e-05, 7.823983097956821e-06, -3.1030033131239003
6854.172, 1, 0.25, 0, 0, 0, 0, 0, -0.7618161532530812, -3.592560581644818, -1.0108889329646376e-05, 3.940074621450742e-06, 3.7739688621759217e-06, -3.1032776222337533
6862.589, 1, 0.25, 0, 0, 0, 0, 0, -1.0111970730188442, -3.6020392993405745, -1.1082406585538607e-05, 7.271403487617016e-06, 8.237104163665567e-06, -3.1034485458293677
6864.189, 1, 0, 0, 0, 0, 0, -0.241067576242, -1.0121906595264587, -3.601215822534836, -1.8115191359191485e-05, 3.693074045277178e-05, -1.4025278812047389e-05, 3.0111144447199436
6865.689, 1, 0.25, 0, 0, 0, 0, 0, -1.2589539180022253, -3.5684857744290177, -1.0592072495652083e-05, 4.4165085327547995e-06, 5.987035754234616e-06, 3.0100432966496675
6868.19, 1, 0.25, 0, 0, 0, 0, 0, -1.5070879093956822, -3.5355296132113794, -9.998039549791171e-06, 2.586561759134725e-06, 3.2318710398107804e-06, 3.0097679283208474
6870.006, 1, 0, 0, 0, 0, 0, -0.241067576242, -1.5079459059875693, -3.5345057694527675, -1.6417956638425935e-05, 2.4725956045793677e-05, -1.0785462280020017e-05, 2.8407456601544427
6871.406, 1, 0.25, 0, 0, 0, 0, 0, -1.7463096237854623, -3.4602943835284825, -1.268645436117155e-05, 8.255328135086868e-06, 1.5009512136123115e-06, 2.8401081596636084
6877.906, 1, 0.25, 0, 0, 0, 0, 0, -1.982639958524362, -3.3866496891824016, -1.1892016394093874e-05, 8.231503879767874e-06, 1.0906913724688345e-05, 2.8397685389845715
6879.306, 1, 0.25, 0, 0, 0, 0, 0, -2.2219131748176038, -3.3120597517470025, -1.2197449627215917e-05, 7.622419259644876e-06, 1.2313762915867586e-05, 2.839606002135142
6880.722, 1, 0.25, 0, 0, 0, 0, 0, -2.462423747115697, -3.2370739485458135, -1.3086238568688069e-05, 6.8808614598278516e-06, 1.2469514785407917e-05, 2.8395538294405447
6882.122, 1, 0, 0, 0, 0, 0, -0.241067576242, -2.462645182051724, -3.2362007380724025, -2.1555476094642367e-05, 3.0492400511943765e-05, -1.208692995302764e-05, 2.6696383077890595
6883.622, 1, 0.25, 0, 0, 0, 0, 0, -2.6820645869571536, -3.123961649484484, -1.6884112829379516e-05, -2.2951819906272387e-05, 1.6738773108293251e-06, 2.669156034532717
6885.022, 1, 0, 0, 0, 0, 0, -0.241067576242, -2.6847196070184145, -3.121509100850297, -2.270414788824171e-05, -3.2868982789297683e-06, -1.8320281163707175e-05, 2.500612794998401
6886.339, 1, 0.25, 0, 0, 0, 0, 0, -2.884558123420289, -2.972021988099589, -2.857005289283454e-05, -7.222965316592165e-05, -3.0085434115172277e-05, 2.4999026886364772
