time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
95.131, 1, 0.5, 0, 0, 0, 0, 0, -1.5412734817692786, 2.6003743630721, -1.762161164464704e-05, -2.481806595100597e-07, 4.7773363700965855e-09, -1.0284096311253619
97.542, 1, 0.5, 0, 0, 0, 0, 0, -1.2854278333591345, 2.17585803957763, -1.8461696733834687e-05, -1.5176646420334521e-07, 2.354199168074779e-09, -1.0284099993547844
99.24, 1, 0.5, 0, 0, 0, 0, 0, -1.028295387821413, 1.749202032546905, -1.798971148175843e-05, -3.5601844658001127e-07, 7.356709711497254e-10, -1.028411904099155
100.96, 1, 0.5, 0, 0, 0, 0, 0, -0.7709672447210408, 1.322223991944264, -1.846854092166228e-05, -2.277247814117545e-07, -2.7501409363439418e-09, -1.0284136027561475
102.75, 1, 0.5, 0, 0, 0, 0, 0, -0.5131024249729422, 0.8943567204328768, -1.601816308383075e-05, -3.78056349535348e-07, -2.4517719299621412e-08, -1.0284173385897228
104.35, 1, 0.5, 0, 0, 0, 0, 0, -0.25532361192902303, 0.4666239357711769, -1.3284602777691168e-05, -5.221923580917581e-07, -4.0402911247126855e-08, -1.02841932448226
106.259, 1, 0.5, 0, 0, 0, 0, 0, 0.0028226551451647763, 0.03828044872375638, -1.2765060758118674e-05, -5.739831068881358e-07, -2.450299491390757e-08, -1.028419987732869
108.259, 1, 0.5, 0, 0, 0, 0, 0, 0.26103972198956144, -0.3901814224730663, -1.105871679446535e-05, -2.567021792741439e-07, -2.2233155868633906e-08, -1.028420367688167
110.157, 1, 0.5, 0, 0, 0, 0, 0, 0.5190431505314913, -0.8182863115024188, -1.0220263177540545e-05, -1.6785637036501112e-07, -1.996994077481655e-08, -1.0284204460163602
115.462, 1, 0.5, 0, 0, 0, 0, 0, 0.7770740490085717, -1.246434938549781, -1.0228460931682726e-05, -1.8764575088162453e-07, -1.5238973241380848e-08, -1.0284189468279545
118.063, 1, 0.5, 0, 0, 0, 0, 0, 1.0348629349045897, -1.6741808193134398, -1.0188437357866453e-05, -1.3258003630208515e-07, -1.539327985347273e-08, -1.0284161941838612
119.773, 1, 0.5, 0, 0, 0, 0, 0, 1.2934363121690748, -2.1032586988670783, -1.0395274560370815e-05, -2.2182326214731537e-07, -1.9624657730514124e-08, -1.028415767294892
122.993, 1, 0.5, 0, 0, 0, 0, 0, 1.551517134166108, -2.531478165433674, -1.0445137601705623e-05, -2.624240950635946e-07, 8.22791556595325e-08, -1.0284145527628628
124.878, 1, 0.5, 0, 0, 0, 0, 0, 1.8093475419021292, -2.959285409030699, -1.0350562800715002e-05, 2.4331987456238748e-08, -1.2933566116453242e-07, -1.0284147328257613
126.487, 1, 0.5, 0, 0, 0, 0, 0, 2.0679524656164383, -3.3883805023072564, -1.034438702432472e-05, -5.164305077858272e-07, -7.732174702271932e-08, -1.028414743317761
128.084, 1, 0.5, 0, 0, 0, 0, 0, 2.3262993135594368, -3.8170484508219586, -1.0261224460489382e-05, -7.760125162244673e-08, 1.9528754500389654e-08, -1.0284147609235794
