time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
1910.694, 1, 0.5, 0, 0, 0, 0, 0, -0.006097803720215793, 2.507958383523433, -1.548095809758565e-05, -2.1954770846142197e-07, 2.2111455517620168e-08, -1.5831898283678894
1913.408, 1, 0, 0, 0, 0, 0, 0.482135152485, -0.006049838796670814, 2.5077383603066696, -1.8250844898537455e-05, -1.7042769094994228e-06, 6.055827029239358e-09, -1.2795065538523345
1915.307, 1, 0, 0, 0, 0, 0, 0.482135152485, -0.005643376293434345, 2.5069225413096223, -1.4755495674312336e-05, -1.298827540672601e-05, -1.350231393833228e-08, -0.9673051451172989
1916.708, 1, 0.5, 0, 0, 0, 0, 0, 0.2724449207593051, 2.103516536667198, -1.0742186512258112e-05, -5.445089810816839e-06, 6.387379920199481e-08, -0.9672266308398815
1918.108, 1, 0.5, 0, 0, 0, 0, 0, 0.5567388758825198, 1.69109139667407, -9.74636595388323e-06, -1.688028179301802e-06, 1.2631730987190225e-07, -0.9673598108909528
1919.728, 1, 0.5, 0, 0, 0, 0, 0, 0.8404140315155975, 1.2794431195959828, -1.6843296160723442e-05, -8.157263974143832e-06, 1.836867580123693e-09, -0.9674742374995878
1921.124, 1, 0, 0, 0, 0, 0, 0.482135152485, 0.8417309662322686, 1.2780189202427177, -1.8064062761141697e-05, -4.486429620391816e-05, -1.5267872894762817e-07, -0.6479044335544747
1922.649, 1, 0, 0, 0, 0, 0, 0.482135152485, 0.8435264558416515, 1.2770568493139915, -1.4915305582147154e-05, -2.6066763543426975e-05, -5.913336917313888e-08, -0.32154069457585005
1924.159, 1, 0, 0, 0, 0, 0, 0.482135152485, 0.8455273884988741, 1.2767276097216764, -1.4754376953779458e-05, -1.876432604938445e-05, -5.4001427848469405e-08, -0.002985379960900242
1925.558, 1, 0.5, 0, 0, 0, 0, 0, 1.3415412563887752, 1.275376832557696, -1.4341702343045881e-05, -1.8964824294055295e-05, -2.0312689595240827e-07, -0.002773308669783305
1926.958, 1, 0.5, 0, 0, 0, 0, 0, 1.841065393548609, 1.2739992900267028, -9.671388661230962e-06, -1.4727114268080259e-06, 8.673443096533166e-08, -0.0028473366580929567
1928.392, 1, 0.5, 0, 0, 0, 0, 0, 2.340357321176366, 1.2725502358821028, -1.1716083578527936e-05, -9.894182795143689e-06, 7.806259887751785e-08, -0.0029610819445753866
1929.859, 1, 0.5, 0, 0, 0, 0, 0, 2.3424354612394422, 1.2728339160220523, -1.8976408774712406e-05, -4.393359960687809e-05, -1.802532316410398e-07, 0.3158197884457203
