time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
13371.273, 1, 0.25, 0, 0, 0, 0, 0, 0.016296554394271925, 5.345238352174619, -1.835965720875521e-05, -4.136424879133488e-07, -1.26016275230837e-07, -1.575653529729666
13372.673, 1, 0.25, 0, 0, 0, 0, 0, 0.015098372327173825, 5.096866493550121, -1.730243620728933e-05, -3.2173918585800056e-06, 3.3630502951215587e-07, -1.5756137125687797
13374.073, 1, 0.25, 0, 0, 0, 0, 0, 0.013907162511660279, 4.847897660663872, -1.4716047886192962e-05, -5.602416572975366e-06, 4.5098227588912184e-08, -1.5755711064886573
13375.373, 1, 0.25, 0, 0, 0, 0, 0, 0.012723986898365508, 4.598554247552685, -1.1170749909694688e-05, -2.0333099258039448e-06, -3.098328432135876e-07, -1.5755277737992777
13376.791, 1, 0.25, 0, 0, 0, 0, 0, 0.01154787083574924, 4.348729275933096, -1.3292836884837289e-05, -5.5842680371567545e-06, -5.389326551703335e-07, -1.5754855416497746
13378.09, 1, 0.25, 0, 0, 0, 0, 0, 0.010385345913465613, 4.099000389381629, -1.124272288169359e-05, -2.3451042798416134e-06, -4.261091731031774e-07, -1.5754313572766718
13379.49, 1, 0.25, 0, 0, 0, 0, 0, 0.009247892158721576, 3.8491782467634224, -1.0381365349726446e-05, -6.844425968731029e-07, -1.612411694021799e-07, -1.5753547756747948
13380.889, 1, 0.25, 0, 0, 0, 0, 0, 0.008138390675492716, 3.599295131972891, -9.893427371177044e-06, -4.9115941857567846e-08, -3.2464551492894447e-08, -1.5752981858017439
13382.191, 1, 0.25, 0, 0, 0, 0, 0, 0.007031551594024874, 3.3493671751830045, -9.252138053694736e-06, 4.821059840001371e-08, -5.491768539769236e-10, -1.5752769143354215
13383.627, 1, 0.25, 0, 0, 0, 0, 0, 0.005905901334456432, 3.099163463939335, -1.0604098444000343e-05, -5.062637283941149e-07, 5.135339013088708e-09, -1.575342682517452
13385.106, 1, 0.25, 0, 0, 0, 0, 0, 0.004775952453068462, 2.8491905532024657, -1.0268498979809637e-05, -8.765234468025768e-08, -6.087843993972899e-08, -1.5753526979173
13386.306, 1, 0.25, 0, 0, 0, 0, 0, 0.0036476499195596517, 2.5992043628736043, -1.00330427265094e-05, -2.403605810006593e-09, 1.0785832471510384e-07, -1.575343629143583
