time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
13963.856, 1, 0.25, 0, 0, 0, 0, 0, -0.2604479253003911, 5.981925835358307, -1.8505101327503937e-05, 2.44588339392098e-08, -2.3747611575691123e-07, -1.564218733117129
13965.941, 1, 0.25, 0, 0, 0, 0, 0, -0.258806550625709, 5.733554934732228, -1.2552543901367397e-05, -2.3271569671263635e-06, -1.307258580447818e-07, -1.564177106732446
13967.644, 1, 0.25, 0, 0, 0, 0, 0, -0.2571490566980332, 5.484338672594175, -9.319253806289174e-06, -9.275115860874658e-08, -8.839183402631064e-08, -1.5641357038351091
13971.159, 1, 0.25, 0, 0, 0, 0, 0, -0.25548328189965075, 5.235251896116309, -1.4457675147155902e-05, -6.4482357558249615e-06, -1.3250205283820748e-07, -1.564094765927619
13972.559, 1, 0.25, 0, 0, 0, 0, 0, -0.25380276453346695, 4.9854259037707465, -1.1850158660065002e-05, -3.632851299265934e-06, -5.072048760810238e-07, -1.5640515239997834
13973.959, 1, 0.25, 0, 0, 0, 0, 0, -0.2521099976373903, 4.735700882911868, -1.0528204392568075e-05, -1.2423138321736576e-06, -2.509751034060955e-07, -1.5639976033399048
13975.059, 1, 0.25, 0, 0, 0, 0, 0, -0.25038853998863825, 4.485628265574136, -9.533236134368073e-06, -8.270060789603952e-08, -3.753188433635935e-08, -1.563914675511709
13976.475, 1, 0.25, 0, 0, 0, 0, 0, -0.2486385756300265, 4.235501630232538, -1.0585563471443571e-05, -5.873039056348511e-07, -1.3370862601642533e-07, -1.563853621145859
13977.874, 1, 0.25, 0, 0, 0, 0, 0, -0.24688636154406038, 3.9858302586237846, -1.0381106861190315e-05, -2.3223223735371828e-07, -4.6147418313501006e-08, -1.563830650041371
13979.175, 1, 0.25, 0, 0, 0, 0, 0, -0.24514155737658663, 3.7358771426897643, -1.025667763110416e-05, -1.3224835678281814e-07, -2.4554662104704332e-08, -1.5638351397663681
13980.575, 1, 0.25, 0, 0, 0, 0, 0, -0.24339961888273728, 3.486407768583506, -9.886893550414833e-06, 2.0815310026543244e-08, -1.1860275713328282e-07, -1.5638312656349922
13981.975, 1, 0.25, 0, 0, 0, 0, 0, -0.24165128117180854, 3.2369272820159685, -9.417859633320536e-06, 1.7608628111332572e-07, 2.436515478450105e-09, -1.5638220970392418
13983.392, 1, 0.25, 0, 0, 0, 0, 0, -0.23989766639818721, 2.9864407305596887, -1.0383048849232912e-05, -2.721421218769538e-07, 2.4023273574921618e-08, -1.5638165359822274
13984.792, 1, 0.25, 0, 0, 0, 0, 0, -0.2381490990576278, 2.7364506832689934, -1.029830631854578e-05, -3.26964752730829e-07, -2.3980967619216813e-07, -1.5638136483277372
13986.192, 1, 0.25, 0, 0, 0, 0, 0, -0.2364013360612331, 2.4864589004576554, -1.0233802239800749e-05, -1.588385804641185e-08, -4.883346233451036e-08, -1.563811836091856
13987.492, 1, 0.25, 0, 0, 0, 0, 0, -0.23465410853154214, 2.236466075511383, -1.0192232151456926e-05, 7.476841652516872e-08, -1.2571931800674433e-08, -1.5638109795168456
13988.809, 1, 0.25, 0, 0, 0, 0, 0, -0.2329071996243453, 1.9864727806045257, -1.0259100799492327e-05, -8.729528504548489e-08, -2.5314863168176216e-08, -1.563810502038346
13990.109, 1, 0.25, 0, 0, 0, 0, 0, -0.23115869707100917, 1.7362292190025546, -1.0251295637697666e-05, -8.855400360119041e-08, -1.3774609208496232e-08, -1.5638102268634104
13991.501, 1, 0.25, 0, 0, 0, 0, 0, -0.22941373820948094, 1.4864854857892833, -1.028811855022238e-05, 2.0385901515951576e-07, -1.1926505011067044e-07, -1.5638100698090958
13992.808, 1, 0.25, 0, 0, 0, 0, 0, -0.22766717247812718, 1.2364916939231827, -1.0476085365057619e-05, -1.166165389060996e-07, 6.955486774671918e-08, -1.5638099549865532
13994.409, 1, 0.25, 0, 0, 0, 0, 0, -0.22592060475470566, 0.9864978212299069, -1.0637957777753781e-05, -3.46402179209731e-07, -1.078024714377248e-07, -1.5638099069783802
13995.825, 1, 0.25, 0, 0, 0, 0, 0, -0.22417215759924133, 0.7362539567197602, -1.0967594575722606e-05, 4.1418576553596557e-07, -5.795972655822704e-08, -1.5638098809084013
13997.225, 1, 0.25, 0, 0, 0, 0, 0, -0.22243166985066656, 0.4862686818055041, -2.4237518142400383e-05, -5.326348405656305e-05, 4.988623512819816e-05, -1.5638003889154213
13998.625, 1, 0.25, 0, 0, 0, 0, 0, -0.22056628080730428, 0.23687591550049952, -3.7340233998234273e-05, -7.083193446986217e-05, 5.766668822113353e-05, -1.5624752322439783
14000.025, 1, 0.25, 0, 0, 0, 0, 0, -0.21946749137202598, -0.008356240202685687, -3.253902921501739e-05, -0.00038770988100812114, -0.000354148330943996, -1.5534266975691322
14001.431, 1, 0.25, 0, 0, 0, 0, 0, -0.2152629861094919, -0.25509552263389446, -4.615554167944347e-05, 0.00013636311882376444, 2.551299522792108e-05, -1.5512059524077635
14002.941, 1, 0.25, 0, 0, 0, 0, 0, -0.21058221997255588, -0.49689587045236644, -1.887121822033433e-05, 3.4282434577775246e-06, -3.368451028864948e-06, -1.5512579458049125
14004.342, 1, 0.25, 0, 0, 0, 0, 0, -0.20584446752031008, -0.7390702295137659, -1.7758697017505876e-05, 2.0836932648661316e-06, -2.230950499536016e-06, -1.5512412254927963
14005.843, 1, 0.25, 0, 0, 0, 0, 0, -0.20104144913556318, -0.9854926440558746, -1.6313097119274866e-05, 5.874723408801813e-06, -4.4760146744629235e-06, -1.5513354882683013
14007.143, 1, 0.25, 0, 0, 0, 0, 0, -0.19623423423659547, -1.2334662470591105, -9.622769010508847e-06, 1.133998369155505e-06, -8.118811704431299e-07, -1.5514460172337694
14008.559, 1, 0.25, 0, 0, 0, 0, 0, -0.19144782057431015, -1.4820355673982968, -1.5961229551497702e-05, 8.316525591806715e-06, -5.981828817927272e-06, -1.5515191806557533
14009.859, 1, 0.25, 0, 0, 0, 0, 0, -0.18668099726870188, -1.731115999340875, -1.37402142024734e-05, 7.998990880828203e-06, -5.3373602197309265e-06, -1.5515617131461408
14011.359, 1, 0.25, 0, 0, 0, 0, 0, -0.1819146627159276, -1.9805136656621698, -1.043278136186876e-05, 2.1390842949115065e-06, -1.5357263091262661e-06, -1.5515702689482447
14012.758, 1, 0.25, 0, 0, 0, 0, 0, -0.17714042827795204, -2.229860732078266, -9.258027868136454e-06, -6.186348146717318e-09, 1.5075134165971713e-08, -1.5515517887748649
