time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
1657.564, 1, 0.5, 0, 0, 0, 0, 0, -0.006116801160990219, 2.50647316907724, -1.1621009839840601e-05, -1.148927092563604e-07, 3.230602056807922e-08, -1.5831897919413784
1659.679, 1, 0.5, 0, 0, 0, 0, 0, -0.012266710229411415, 2.010357676645585, -1.2665412258500153e-05, -8.419923544270983e-08, 1.0374476786306016e-08, -1.5831901851859342
1661.28, 1, 0, 0, 0, 0, 0, 0.482135152485, -0.01212085259995809, 2.009399940324427, -1.6915752864332667e-05, -3.708811397994197e-05, -1.3855983078744505e-08, -1.2738023935985268
1663.496, 1, 0.5, 0, 0, 0, 0, 0, 0.13355328955565168, 1.5365612101806658, -9.767792519488339e-06, -1.7008871614600871e-06, -1.1528028616495701e-07, -1.2719499771101768
1665.098, 1, 0, 0, 0, 0, 0, 0.482135152485, 0.13499695277411172, 1.5327241380115273, -1.666338860906169e-05, -3.707495633364447e-05, -2.7585226233474412e-08, -0.9609906451387582
1667.906, 1, 0.5, 0, 0, 0, 0, 0, 0.4189118923066459, 1.1306676368463144, -9.728240938478017e-06, -1.7750620504494278e-06, 5.2315444999590296e-08, -0.9560264315554678
1669.331, 1, 0, 0, 0, 0, 0, 0.482135152485, 0.423672755338926, 1.1244183538262054, -1.6552038189426854e-05, -3.670505024130053e-05, -6.925582688301239e-08, -0.6422848875275793
1671.83, 1, 0, 0, 0, 0, 0, 0.482135152485, 0.42543742813259405, 1.1234900835961716, -1.4729507131439057e-05, -1.9660203145579417e-05, -1.5183225628466584e-08, -0.3220648884292621
1673.53, 1, 0.5, 0, 0, 0, 0, 0, 0.8968638392680692, 0.966281158220529, -1.018323666895915e-05, -3.6249463158149492e-06, 8.157795974555139e-08, -0.32193452252687754
1676.047, 1, 0, 0, 0, 0, 0, 0.482135152485, 0.8988826973249114, 0.9659326162108166, -1.4718398845259273e-05, -1.907578999951396e-05, 1.5607306746014896e-07, -0.0037957690141192596
1677.546, 1, 0.5, 0, 0, 0, 0, 0, 1.3962501177844509, 0.9641138693259292, -1.4122282324918745e-05, -1.889954119302083e-05, -5.65153543367826e-08, -0.00375418266682198
1679.267, 1, 0.5, 0, 0, 0, 0, 0, 1.8966799085502013, 0.9622233347260503, -1.3961468960904666e-05, -1.8107366603524415e-05, -1.819418903371949e-07, -0.0038581193920587714
1697.266, 1, 0.5, 0, 0, 0, 0, 0, 2.3956925899287995, 0.9602816750621547, -1.4348060294849807e-05, -1.9092590130604312e-05, -5.905529273642559e-08, -0.003994054652057294
1698.848, 1, 0, 0, 0, 0, 0, 0.482135152485, 2.397799712564693, 0.9605164521949335, -2.0727860090830053e-05, -4.4444787530452075e-05, 3.6501944844935806e-06, 0.31601685129204793
1707.063, 1, 0.5, 0, 0, 0, 0, 0, 2.8699378621681433, 1.116068037993923, -1.4671112589931257e-05, -1.2700440231180058e-05, 3.1907025380463356e-06, 0.31817811105948546
