time, t_command, c_linear_x, c_linear_y, c_linear_z, c_angular_x, c_angular_y, c_angular_z, pos_x, pos_y, pos_z, ang_x, ang_y, ang_z
154.609, 1, 0.5, 0, 0, 0, 0, 0, -0.06302360976575289, -1.3659665465036621, -1.649733639635942e-05, -2.6369833238948105e-07, 1.0232535775694102e-08, 1.5764750561380136
158.01, 1, 0.5, 0, 0, 0, 0, 0, -0.06584300355521798, -0.8693256234187638, -1.2693403282804105e-05, -9.314167413090828e-08, 1.9284460894188767e-08, 1.5764747784238093
160.411, 1, 0.5, 0, 0, 0, 0, 0, -0.0686669993876542, -0.37167830930595924, -9.540546609398959e-06, 1.058480153306434e-07, 1.8086688013346094e-08, 1.5764738023975002
162.627, 1, 0.5, 0, 0, 0, 0, 0, -0.07149504398295474, 0.12683943786001234, -1.7509106048085865e-05, -1.778424285765603e-07, -9.367640625151515e-09, 1.5764708319621286
164.729, 1, 0.5, 0, 0, 0, 0, 0, -0.07432987157076779, 0.6263967340366745, -1.5336676700422602e-05, -3.266595845124579e-07, -2.5543281455290287e-08, 1.576466621275913
166.926, 1, 0.5, 0, 0, 0, 0, 0, -0.07715662821247464, 1.125296003538311, -1.0941686133469908e-05, -2.5826111114525677e-07, -1.3610401105651293e-08, 1.5764644054574677
169.143, 1, 0.5, 0, 0, 0, 0, 0, -0.07998694951054655, 1.6249040026664812, -1.3048177135238648e-05, -6.233398324277776e-07, -3.500872943328599e-08, 1.5764633867829185
171.243, 1, 0.5, 0, 0, 0, 0, 0, -0.08281775755705317, 2.1246516647278297, -1.1335474983942273e-05, -3.293612291733372e-07, -2.1654168916672595e-08, 1.5764628445869704
173.343, 1, 0.5, 0, 0, 0, 0, 0, -0.08564740970312364, 2.6239832755493695, -1.0642835028412678e-05, -2.6897251194497707e-07, -2.406515689512842e-08, 1.5764628437705561
175.143, 1, 0.5, 0, 0, 0, 0, 0, -0.08847977315391697, 3.1238660192708396, -1.0304580691511411e-05, -1.859360394553072e-07, -1.5890348350521974e-08, 1.5764629566332595
183.245, 1, 0.5, 0, 0, 0, 0, 0, -0.09128639034008115, 3.6242746420508682, -1.010211305829678e-05, -1.8029142457048266e-07, -1.2525129027446997e-08, 1.5764672878888661
